problem,reference_label,base_model_predicted,base_model_correct,quantized_model_predicted,quantized_model_correct,base_model_time,quantized_model_time
"Sentence1: Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence . Sentence2: Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,5.750477313995361,6.070260524749756
Sentence1: Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion . Sentence2: Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,6.012552738189697,0.49226927757263184
"Sentence1: They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added . Sentence2: On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,5.771336555480957,0.4780263900756836
"Sentence1: Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 . Sentence2: Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,5.71912145614624,4.743454217910767
"Sentence1: The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange . Sentence2: PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.2665650844573975,0.8077223300933838
"Sentence1: Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier . Sentence2: With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.512608528137207,0.47481513023376465
"Sentence1: The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday . Sentence2: The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5141427516937256,0.4853682518005371
Sentence1: The DVD-CCA then appealed to the state Supreme Court . Sentence2: The DVD CCA appealed that decision to the U.S. Supreme Court .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,0.3932216167449951,0.47829365730285645
"Sentence1: That compared with $ 35.18 million , or 24 cents per share , in the year-ago period . Sentence2: Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5125725269317627,0.5389482975006104
"Sentence1: Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent . Sentence2: Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5120859146118164,0.47565293312072754
"Sentence1: Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March . Sentence2: Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5194971561431885,0.47966861724853516
"Sentence1: The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 . Sentence2: The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2741825580596924,5.469179630279541
Sentence1: But he added group performance would improve in the second half of the year and beyond . Sentence2: De Sole said in the results statement that group performance would improve in the second half of the year and beyond .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,1,1,0.5112199783325195,0.47358059883117676
"Sentence1: He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum . Sentence2: "" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.6244494915008545,0.4771876335144043
"Sentence1: Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers . Sentence2: The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,5.85354208946228,4.954670429229736
"Sentence1: Rudder was most recently senior vice president for the Developer & Platform Evangelism Business . Sentence2: Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5146965980529785,1.9761962890625
"Sentence1: As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls . Sentence2: Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2758097648620605,3.227581262588501
"Sentence1: Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers . Sentence2: Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.271583080291748,5.042558431625366
"Sentence1: "" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost . Sentence2: "" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.513188362121582,1.7286827564239502
"Sentence1: The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access . Sentence2: Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5123686790466309,0.47588682174682617
"Sentence1: But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands . Sentence2: Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.511526346206665,4.49025821685791
"Sentence1: A federal magistrate in Fort Lauderdale ordered him held without bail . Sentence2: Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.38741421699523926,0.4710206985473633
